NAME,TYPE,ADDRESS,PHONE,EMAIL
Oxley Christian College,Christian,15 - 49 Old Melbourne Road,03 9727 9900,office@oxley.vic.edu.au
Tintern Grammar,Anglican,90 Alexandra Road,03 9845 7777,reception@tintern.vic.edu.au
Ghilgai Steiner School,Steiner,295 Liverpool Road,03 9728 5819,edadmin@ghilgai.com.au
The King David School,Jewish,517 - 519 Orrong Road,03 9291 7900,admin@kds.vic.edu.au
Berengarra School,Other,43 Harrison Street,03 9898 9167,justin.finnerty@berengarra.com.au
Huntingtower,ChristianNon-denominational,77 Waimarie Drive,03 9807 8888,admin@huntingtower.vic.edu.au
Fernbrook School,Non-denominational,16 Clevedon Road,1300 116 654,info@maxwellschool.com.au
Belgrave Heights Christian School,Christian, Wattle Valley Road,03 9754 6435,office@bhcs.vic.edu.au
Oakleigh Grammar,Greek Orthodox,77- 81 Willesden Road,03 9569 6128,principal@oakleighgrammar.vic.edu.au
SEDA College (Victoria),Non-denominational,425 Riversdale Road,03 9834 6397,heathm@scv.vic.edu.au
Hoa Nghiem Primary School,Other,442 - 448 Springvale Road,03 8510 2244,office@hoanghiem.vic.edu.au
Yesodei Hatorah College,Jewish,39 Dickens Street,03 9531 3203,YGoldblatt@yht.vic.edu.au
Firbank Grammar School,Anglican,51 Outer Crescent,03 9591 5188,enquiries@firbank.vic.edu.au
SEDA College (Victoria),Non-denominational,425 Riversdale Road,03 9834 6397,heathm@scv.vic.edu.au
Flinders Christian Community College,Non-denominational,155 Mornington - Tyabb Road,03 5973 2000,enquiry@flinders.vic.edu.au
Kardinia International College,Non-denominational,205 Ballarat Road,035278 9999,kardinia@kardinia.vic.edu.au
Geelong Lutheran College,Lutheran,2-38 Burvilles Road,03 5264 1038,admin@glc.vic.edu.au
Christian College Geelong,Inter-denomination,18 Burdekin Road,03 5241 1899,enquire@ccg.vic.edu.au
Ballarat Clarendon College,Uniting Church,1425 Sturt Street,03 5330 8200,college@clarendon.vic.edu.au
King's College Warrnambool,Presbyterian,44 Balmoral Road,03 5562 0147,reception@kings.vic.edu.au
Tarrington Lutheran School,Lutheran,7901 Hamilton Highway,03 5572 3897,principal@tarringtonls.vic.edu.au
Bacchus Marsh Grammar,Other,South Maddingley Road,03 5366 4800,school@bmg.vic.edu.au
Ballarat Grammar,Anglican,201 Forest Street,03 5338 0700,bgs@bgs.vic.edu.au
Ballarat Grammar,Anglican,201 Forest Street,03 5338 0700,bgs@bgs.vic.edu.au
Holy Trinity Lutheran College,Lutheran,Trinity Drive,03 5382 2529,admin@htlc.vic.edu.au
St Peter's Lutheran Primary School,Lutheran,6 - 26 Horsham Road,03 5389 1626,admin@spls.vic.edu.au
Nhill Lutheran School,Lutheran,2 Mackay Street,03 5391 2144,admin@nls.vic.edu.au
Red Rock Christian College,Inter-denomination,340 Settlement Road,03 9740 5400,enquiries@redrock.vic.edu.au
Alice Miller School,Non-denominational,110 Bailey Road,03 5426 1751,johnmarsden@bigpond.com
Gisborne Montessori School,Montessori,57 Barringo Road,03 5428 4520,admin@gisbornemontessori.vic.edu.au
Alice Miller School,Non-denominational,110 Bailey Road,03 5426 1751,johnmarsden@bigpond.com
Braemar College,Inter-denomination,1499 Mt Macedon Road,03 5427 2500,registrar@braemar.vic.edu.au
Daylesford Dharma School Inc,Buddhist,90 Daylesford Trentham Road,03 5348 3112,info@dharmaschool.com.au
Highview College,Inter-denomination,21 Kars Street,03 5459 1000,highview@highview.vic.edu.au
OneSchool Global VIC,Brethren,03 9355 0788,admin.vic@au.oneschoolglobal.com
River City Christian College,Christian,29 Rose Street,03 5482 4594,reception@rccc.vic.edu.au
Kerang Christian College,Christian,98 Wyndham Street,03 5450 3894,admin@kccs.vic.edu.au
Goulburn Valley Grammar School,Non-denominational,455 Verney Road,03 5821 8155,gvgs@gvgs.vic.edu.au
OneSchool Global VIC,Brethren,03 9355 0788,admin.vic@au.oneschoolglobal.com
Cobram Anglican Grammar School,Anglican,40-48 Campbell Road,03 5871 1816,business@cags.vic.edu.au
Mansfield Autism Statewide Services,Non-denominational,81 Highett Street,03 5775 2876,info@autismmansfield.org.au
Cathedral College Wangaratta,Anglican,344 Wangaratta-Whitfield Road,03 5722 3304,principal@cathedralcollege.vic.edu.au
Indie School Wodonga,Non-denominational,02 6043 8200,reception@awcc.edu.au
Victory Lutheran College,Lutheran,02 6057 5859,victorylc@vlc.vic.edu.au
Grace Christian College Wodonga,Christian,02 6056 2288,gcc@gcc.vic.edu.au
Lauriston Girls' School,Non-denominational,38 Huntingtower Road,03 9864 7555,principal@lauriston.vic.edu.au
Beechworth Montessori School,Montessori,42 Gilchrist Avenue,03 5728 2940,principal@bms.vic.edu.au
Mount Evelyn Christian School,Christian,14 Hawkins Road,03 9738 6000,office@mecs.vic.edu.au
Lyrebird College,Non-denominational,5/12 Kelso Street,03 9112 8344,admin@lyrebirdcollege.vic.edu.au
Worawa Aboriginal College,Other,60-80 Barak Lane,03 5962 4344,admin@worawa.vic.edu.au
Dandenong Ranges Steiner School,Steiner,51 School Road,03 8790 4797,office@drss.vic.edu.au
Mountain District Christian School,Christian,325 Maccelesfield Road,03 9756 7244,mdcs@mdcs.vic.edu.au
Cire Community School,Non-denominational,2463 Warburton Highway,03 5967 1776,communityschool@cire.org.au
Maranatha Christian School,Christian,03 9709 7200,registrar@maranatha.vic.edu.au
Harkaway Hills College,Non-denominational,03 9796 9821,paredschoolmelbourne@gmail.com
St Thomas Aquinas College,Catholic,03 5629 2500,principal@stac.vic.edu.au
Chairo Christian School,Christian,03 5625 4600,chairoadmin@chairo.vic.edu.au
Berry Street School,Non-denominational,17 Narre Warren-Cranbourne Road,03 9429 9266,info@berrystreet.org.au
Gippsland Grammar,Anglican,417 York Street,03 5143 6388,ggs@gippslandgs.vic.edu.au
Methodist Ladies' College (MLC),Uniting Church,207 Barkers Road,03 9274 6333,college@mlc.vic.edu.au
Woodleigh School,Non-denominational,485 Golf Links Road,03 5971 6100,office@woodleigh.vic.edu.au
Flinders Christian Community College,Non-denominational,155 Mornington - Tyabb Road,03 5973 2000,enquiry@flinders.vic.edu.au
Advance College of Education Incorporated,Other,03 5986 4623,ace@advance.vic.edu.au
Phillip Island Village School,Other,03 5956 8568,admin@pivillageschool.org.au
Newhaven College,Inter-denomination,(03) 5956 7505,info@newhavencol.vic.edu.au,1770 Phillip Island Rd
Advance College of Education Incorporated,Other,03 5986 4623,ace@advance.vic.edu.au,6 Henry Wilson Dive
Balcombe Grammar School,Non-denominational,03 5970 1100,reception@balcombegrammar.vic.edu.au,389 Nepean Highway
Koonwarra Village School,Non-denominational,03 5664 2477,admin@koonwarravillageschool.org,20-26 Koala Drive
Village High School,Non-denominational,03 5678 7424,admin@villagehighschool.org,450 Dalyston-Glen Forbes Road

Sunset Elementary School,Non-denominational,123 Main Street,123-456-7890,principal@sunsetelementary.com
Oakmont Montessori Academy,Montessori,456 Elm Avenue,987-654-3210,principal@oakmontmontessori.com
Grace Christian School,Christian,789 Oak Road,456-789-0123,office@gracechristianschool.com
Maplewood College,Non-denominational,321 Maple Lane,789-012-3456,admin@maplewoodcollege.com
Harmony Aboriginal School,Other,987 Pine Street,012-345-6789,admin@harmonyaboriginalschool.com
Forest Glen Steiner School,Steiner,654 Schoolhouse Road,345-678-9012,office@forestglensteiner.com
Mountainview Christian Academy,Christian,789 Hillside Avenue,678-901-2345,info@mountainviewchristian.com
Community Learning Center,Non-denominational,2345 Park Boulevard,901-234-5678,clc@communitylearningcenter.com
Hope Christian School,Christian,5678 Church Street,234-567-8901,hopechristianschool@email.com
Hillsview Hills College,Non-denominational,8901 Ridge Road,567-890-1234,office@hillsviewhillscollege.com
Blossom Elementary School,Non-denominational,246 Rose Lane,567-890-2345,principal@blossomelementary.com
Riverview Montessori School,Montessori,890 River Road,678-901-3456,principal@riverviewmontessori.com
Faithful Christian Academy,Christian,123 Faith Street,789-012-4567,info@faithfulchristianacademy.com
Meadowbrook College,Non-denominational,456 Meadow Lane,012-345-6789,admin@meadowbrookcollege.com
Glenwood Aboriginal School,Other,789 Glen Avenue,234-567-8901,admin@glenwoodaboriginalschool.com
Valleyview Steiner School,Steiner,987 Valley Road,456-789-0123,office@valleyviewsteiner.com
Heights Christian Academy,Christian,123 Heights Street,789-012-3456,info@heightschristianacademy.com
Parkside Elementary School,Non-denominational,456 Park Avenue,012-345-6789,principal@parksideschool.com
Sunrise Montessori Academy,Montessori,789 Sunrise Lane,234-567-8901,principal@sunrisemontessori.com
Brighton Christian School,Christian,123 Faithful Road,456-789-0123,office@brightonchristianschool.com
Willowbrook Elementary School,Non-denominational,789 Willow Lane,567-890-1234,principal@willowbrookelementary.com
Sunflower Montessori Academy,Montessori,234 Sunflower Avenue,890-123-4567,principal@sunflowermontessori.com
Graceful Christian School,Christian,456 Grace Road,012-345-6789,office@gracefulchristianschool.com
Mapleton College,Non-denominational,678 Maple Street,234-567-8901,admin@mapletoncollege.com
Golden Sands Aboriginal School,Other,890 Golden Avenue,456-789-0123,admin@goldensandsaboriginalschool.com
Meadowview Steiner School,Steiner,123 Meadow Road,678-901-2345,office@meadowviewsteiner.com
Evergreen Christian Academy,Christian,345 Evergreen Lane,901-234-5678,info@evergreenchristianacademy.com
Community Connections School,Non-denominational,567 Community Road,234-567-8901,connections@communityschool.com
Faithful Oaks School,Christian,789 Faithful Avenue,890-123-4567,info@faithfuloaksschool.com
Mountain Heights College,Non-denominational,901 Mountain Lane,012-345-6789,office@mountainheightscollege.com
Birchwood Elementary School,Non-denominational,123 Birch Avenue,567-890-1234,principal@birchwoodschool.com
Riverstone Montessori Academy,Montessori,456 Riverstone Road,789-012-3456,principal@riverstonemontessori.com
Bellevue Christian Academy,Christian,678 Bellevue Lane,901-234-5678,info@bellevuechristianacademy.com
Sunnyside College,Non-denominational,890 Sunnyside Avenue,234-567-8901,admin@sunnysidecollege.com
Dreamcatcher Aboriginal School,Other,123 Dreamcatcher Road,456-789-0123,admin@dreamcatcheraboriginalschool.com
Woodland Steiner School,Steiner,456 Woodland Lane,789-012-3456,office@woodlandsteiner.com
Riverside Christian Academy,Christian,678 Riverside Road,012-345-6789,info@riversidechristianacademy.com
Meadowlark Elementary School,Non-denominational,890 Meadowlark Avenue,234-567-8901,principal@meadowlarkschool.com
Sunset Montessori Academy,Montessori,123 Sunset Road,456-789-0123,principal@sunsetmontessori.com
Brightwood Christian School,Christian,456 Brightwood Lane,789-012-3456,office@brightwoodchristianschool.com
Pineview Elementary School,Non-denominational,789 Pineview Lane,567-890-1234,principal@pineviewschool.com
Sunrise Montessori Academy,Montessori,234 Sunrise Avenue,890-123-4567,principal@sunrisemontessori.com
Harmony Christian School,Christian,456 Harmony Road,012-345-6789,office@harmonychristianschool.com
Maplewood College,Non-denominational,678 Maplewood Street,234-567-8901,admin@maplewoodcollege.com
Golden Sands Aboriginal School,Other,890 Golden Sands Avenue,456-789-0123,admin@goldensandsaboriginalschool.com
Meadowview Steiner School,Steiner,123 Meadowview Road,678-901-2345,office@meadowviewsteiner.com
Evergreen Christian Academy,Christian,345 Evergreen Lane,901-234-5678,info@evergreenchristianacademy.com
Community Connections School,Non-denominational,567 Community Road,234-567-8901,connections@communityschool.com
Faithful Oaks School,Christian,789 Faithful Avenue,890-123-4567,info@faithfuloaksschool.com
Mountain Heights College,Non-denominational,901 Mountain Heights Lane,012-345-6789,office@mountainheightscollege.com
Birchwood Elementary School,Non-denominational,123 Birchwood Avenue,567-890-1234,principal@birchwoodschool.com
Riverstone Montessori Academy,Montessori,456 Riverstone Road,789-012-3456,principal@riverstonemontessori.com
Bellevue Christian Academy,Christian,678 Bellevue Lane,901-234-5678,info@bellevuechristianacademy.com
Sunnyside College,Non-denominational,890 Sunnyside Avenue,234-567-8901,admin@sunnysidecollege.com
Dreamcatcher Aboriginal School,Other,123 Dreamcatcher Road,456-789-0123,admin@dreamcatcheraboriginalschool.com
Woodland Steiner School,Steiner,456 Woodland Lane,789-012-3456,office@woodlandsteiner.com
Riverside Christian Academy,Christian,678 Riverside Road,012-345-6789,info@riversidechristianacademy.com
Meadowlark Elementary School,Non-denominational,890 Meadowlark Avenue,234-567-8901,principal@meadowlarkschool.com
Sunset Montessori Academy,Montessori,123 Sunset Road,456-789-0123,principal@sunsetmontessori.com
Brightwood Christian School,Christian,456 Brightwood Lane,789-012-3456,office@brightwoodchristianschool.com
Lakeside Elementary School,Non-denominational,789 Lakeside Lane,567-890-1234,principal@lakesideschool.com
Morningside Montessori Academy,Montessori,234 Morningside Avenue,890-123-4567,principal@morningsidemontessori.com
Faithful Hills School,Christian,456 Faithful Road,012-345-6789,office@faithfulhillsschool.com
Parkwood College,Non-denominational,678 Parkwood Street,234-567-8901,admin@parkwoodcollege.com
Golden Oaks Aboriginal School,Other,890 Golden Oaks Avenue,456-789-0123,admin@goldenoaksaboriginalschool.com
Crescentview Elementary School,Non-denominational,123 Crescentview Lane,567-890-1234,principal@crescentviewschool.com
Summit Montessori Academy,Montessori,456 Summit Avenue,789-012-3456,principal@summitmontessori.com
Redwood Christian School,Christian,678 Redwood Road,901-234-5678,office@redwoodchristianschool.com
Maplewood College,Non-denominational,890 Maplewood Lane,234-567-8901,admin@maplewoodcollege.com
Mistwood Aboriginal School,Other,123 Mistwood Road,456-789-0123,admin@mistwoodaboriginalschool.com
Willowview Steiner School,Steiner,456 Willowview Lane,789-012-3456,office@willowviewsteiner.com
Graceful Christian Academy,Christian,678 Graceful Avenue,012-345-6789,info@gracefulchristianacademy.com
Village Connections School,Non-denominational,890 Village Road,234-567-8901,connections@villageschool.com
Faithful Pines School,Christian,123 Faithful Street,456-789-0123,info@faithfulpinesschool.com
Mountain Peak College,Non-denominational,456 Mountain Peak Lane,789-012-3456,office@mountainpeakcollege.com
Rosewood Elementary School,Non-denominational,678 Rosewood Avenue,012-345-6789,principal@rosewoodschool.com
Sunset Montessori Academy,Montessori,890 Sunset Road,234-567-8901,principal@sunsetmontessori.com
Harmony Christian Academy,Christian,123 Harmony Lane,456-789-0123,info@harmonychristianacademy.com
Woodland Hills College,Non-denominational,456 Woodland Hills Street,789-012-3456,admin@woodlandhillscollege.com
Golden Sands Aboriginal School,Other,678 Golden Sands Road,012-345-6789,admin@goldensandsaboriginalschool.com
Blossom Steiner School,Steiner,890 Blossom Lane,234-567-8901,office@blossomsteinerschool.com
Riverside Christian Academy,Christian,123 Riverside Avenue,456-789-0123,info@riversidechristianacademy.com
Meadowlark Elementary School,Non-denominational,456 Meadowlark Road,789-012-3456,principal@meadowlarkschool.com
Sunrise Montessori Academy,Montessori,678 Sunrise Lane,012-345-6789,principal@sunrisemontessori.com
Evergreen Christian School,Christian,890 Evergreen Avenue,234-567-8901,office@evergreenchristianschool.com
Parkside Elementary School,Non-denominational,123 Parkside Road,456-789-0123,principal@parksideschool.com
Meadowview Montessori Academy,Montessori,456 Meadowview Lane,789-012-3456,principal@meadowviewmontessori.com
Hillsview Christian Academy,Christian,678 Hillsview Avenue,012-345-6789,info@hillsviewchristianacademy.com
