Address,Property Type,Sq. Ft.,Owner,Market Value,Assessed Value,Tax,Penalty,Interest,Total
300 Chad Alley Apt. 177,COMMERCIAL B,868,300 Chad Alley Apt. 177 LAND TR Fee Owner,"$249,827 ","$86,520 ",$0 ,$0.00 ,$0.00 ,$0.00 
069 Michael Drive,RESIDENTIAL,656,069 Michael Drive LAND TR Fee Owner,"$628,360 ","$70,454 ",$0 ,$0.00 ,$0.00 ,$0.00 
0933 Jason Hill,RESIDENTIAL,878,0933 Jason Hill LAND TR Fee Owner,"$438,301 ","$43,374 ",$0 ,$0.00 ,$0.00 ,$0.00 
802 Sanchez Lake,RESIDENTIAL,923,802 Sanchez Lake LAND TR Fee Owner,"$927,689 ","$99,387 ",$0 ,$0.00 ,$0.00 ,$0.00 
14015 Wright Drives Apt. 870,RESIDENTIAL,746,14015 Wright Drives Apt. 870 LAND TR Fee Owner,"$149,775 ","$84,024 ",$0 ,$0.00 ,$0.00 ,$0.00 
2082 Duncan Extension Suite 785,RESIDENTIAL,501,2082 Duncan Extension Suite 785 LAND TR Fee Owner,"$255,866 ","$41,122 ",$0 ,$0.00 ,$0.00 ,$0.00 
66195 Brown River Apt. 577,RESIDENTIAL,835,66195 Brown River Apt. 577 LAND TR Fee Owner,"$440,786 ","$65,720 ",$0 ,$0.00 ,$0.00 ,$0.00 
87948 Taylor Squares Apt. 019,COMMERCIAL B,303,87948 Taylor Squares Apt. 019 LAND TR Fee Owner,"$651,577 ","$60,120 ",$0 ,$0.00 ,$0.00 ,$0.00 
142 Camacho Corner Suite 489,COMMERCIAL A,268,142 Camacho Corner Suite 489 LAND TR Fee Owner,"$188,271 ","$95,714 ",$0 ,$0.00 ,$0.00 ,$0.00 
8392 Bailey Extension,RESIDENTIAL,903,8392 Bailey Extension LAND TR Fee Owner,"$470,954 ","$38,323 ",$0 ,$0.00 ,$0.00 ,$0.00 
2898 Bush Center Suite 383,COMMERCIAL A,441,2898 Bush Center Suite 383 LAND TR Fee Owner,"$860,090 ","$37,138 ",$0 ,$0.00 ,$0.00 ,$0.00 
958 Roger Club Apt. 528,COMMERCIAL B,667,958 Roger Club Apt. 528 LAND TR Fee Owner,"$952,953 ","$71,961 ",$0 ,$0.00 ,$0.00 ,$0.00 
062 Hammond Forges,COMMERCIAL A,716,062 Hammond Forges LAND TR Fee Owner,"$781,884 ","$58,738 ",$0 ,$0.00 ,$0.00 ,$0.00 
557 Lopez Lodge Suite 032,COMMERCIAL A,572,557 Lopez Lodge Suite 032 LAND TR Fee Owner,"$185,987 ","$24,842 ",$0 ,$0.00 ,$0.00 ,$0.00 
071 Kelly Orchard,COMMERCIAL B,161,071 Kelly Orchard LAND TR Fee Owner,"$537,589 ","$10,700 ",$0 ,$0.00 ,$0.00 ,$0.00 
36361 Boyle Heights Apt. 155,COMMERCIAL B,304,36361 Boyle Heights Apt. 155 LAND TR Fee Owner,"$795,343 ","$94,298 ",$0 ,$0.00 ,$0.00 ,$0.00 
81599 Howard Underpass Apt. 577,RESIDENTIAL,352,81599 Howard Underpass Apt. 577 LAND TR Fee Owner,"$936,568 ","$50,334 ",$0 ,$0.00 ,$0.00 ,$0.00 
485 Byrd Drive Suite 864,COMMERCIAL A,530,485 Byrd Drive Suite 864 LAND TR Fee Owner,"$168,355 ","$97,531 ",$0 ,$0.00 ,$0.00 ,$0.00 
1177 Caldwell Forest Apt. 429,COMMERCIAL A,238,1177 Caldwell Forest Apt. 429 LAND TR Fee Owner,"$688,884 ","$45,223 ",$0 ,$0.00 ,$0.00 ,$0.00 
30454 William Road,RESIDENTIAL,401,30454 William Road LAND TR Fee Owner,"$590,323 ","$56,312 ",$0 ,$0.00 ,$0.00 ,$0.00 
180 Miller Extension,COMMERCIAL B,225,180 Miller Extension LAND TR Fee Owner,"$356,696 ","$40,969 ",$0 ,$0.00 ,$0.00 ,$0.00 
634 Palmer Street,COMMERCIAL A,557,634 Palmer Street LAND TR Fee Owner,"$902,277 ","$15,260 ",$0 ,$0.00 ,$0.00 ,$0.00 
877 Marks Lock,COMMERCIAL B,425,877 Marks Lock LAND TR Fee Owner,"$123,560 ","$93,677 ",$0 ,$0.00 ,$0.00 ,$0.00 
0711 Larry Coves,COMMERCIAL B,172,0711 Larry Coves LAND TR Fee Owner,"$921,183 ","$87,771 ",$0 ,$0.00 ,$0.00 ,$0.00 
312 Moore Underpass,COMMERCIAL A,269,312 Moore Underpass LAND TR Fee Owner,"$546,154 ","$41,576 ",$0 ,$0.00 ,$0.00 ,$0.00 
18011 Karen Flats Suite 605,RESIDENTIAL,334,18011 Karen Flats Suite 605 LAND TR Fee Owner,"$352,156 ","$29,314 ",$0 ,$0.00 ,$0.00 ,$0.00 
355 Jennifer Station Apt. 338,COMMERCIAL B,606,355 Jennifer Station Apt. 338 LAND TR Fee Owner,"$667,924 ","$86,811 ",$0 ,$0.00 ,$0.00 ,$0.00 
2237 Stewart Lakes,COMMERCIAL B,395,2237 Stewart Lakes LAND TR Fee Owner,"$767,199 ","$48,695 ",$0 ,$0.00 ,$0.00 ,$0.00 
1257 Monroe Tunnel,COMMERCIAL B,864,1257 Monroe Tunnel LAND TR Fee Owner,"$110,074 ","$12,443 ",$0 ,$0.00 ,$0.00 ,$0.00 
354 Michelle Mission Suite 271,RESIDENTIAL,953,354 Michelle Mission Suite 271 LAND TR Fee Owner,"$540,417 ","$20,647 ",$0 ,$0.00 ,$0.00 ,$0.00 
5897 Gonzalez Harbor Apt. 495,RESIDENTIAL,445,5897 Gonzalez Harbor Apt. 495 LAND TR Fee Owner,"$648,069 ","$26,370 ",$0 ,$0.00 ,$0.00 ,$0.00 
979 Christopher Viaduct Apt. 835,RESIDENTIAL,735,979 Christopher Viaduct Apt. 835 LAND TR Fee Owner,"$149,957 ","$93,523 ",$0 ,$0.00 ,$0.00 ,$0.00 
800 Caldwell Stream Suite 935,COMMERCIAL B,193,800 Caldwell Stream Suite 935 LAND TR Fee Owner,"$139,918 ","$49,418 ",$0 ,$0.00 ,$0.00 ,$0.00 
923 Farrell Points Apt. 018,COMMERCIAL A,468,923 Farrell Points Apt. 018 LAND TR Fee Owner,"$131,516 ","$55,293 ",$0 ,$0.00 ,$0.00 ,$0.00 
127 Larry Village Suite 186,COMMERCIAL A,856,127 Larry Village Suite 186 LAND TR Fee Owner,"$170,644 ","$70,516 ",$0 ,$0.00 ,$0.00 ,$0.00 
9147 Delgado Mountains Suite 166,COMMERCIAL A,833,9147 Delgado Mountains Suite 166 LAND TR Fee Owner,"$748,497 ","$75,894 ",$0 ,$0.00 ,$0.00 ,$0.00 
86666 Ernest Hill,RESIDENTIAL,688,86666 Ernest Hill LAND TR Fee Owner,"$367,533 ","$34,828 ",$0 ,$0.00 ,$0.00 ,$0.00 
646 Kelli Place Suite 446,COMMERCIAL B,108,646 Kelli Place Suite 446 LAND TR Fee Owner,"$385,066 ","$55,918 ",$0 ,$0.00 ,$0.00 ,$0.00 
485 James Lake,COMMERCIAL A,460,485 James Lake LAND TR Fee Owner,"$653,351 ","$15,433 ",$0 ,$0.00 ,$0.00 ,$0.00 
31866 Christopher Spur,RESIDENTIAL,225,31866 Christopher Spur LAND TR Fee Owner,"$562,509 ","$78,889 ",$0 ,$0.00 ,$0.00 ,$0.00 
915 Hernandez Mountains Suite 298,RESIDENTIAL,500,915 Hernandez Mountains Suite 298 LAND TR Fee Owner,"$827,274 ","$94,068 ",$0 ,$0.00 ,$0.00 ,$0.00 
78294 Levine Club,COMMERCIAL A,838,78294 Levine Club LAND TR Fee Owner,"$673,535 ","$13,536 ",$0 ,$0.00 ,$0.00 ,$0.00 
1220 Greene Land,RESIDENTIAL,724,1220 Greene Land LAND TR Fee Owner,"$969,241 ","$18,632 ",$0 ,$0.00 ,$0.00 ,$0.00 
2375 Ruth Junctions Apt. 404,COMMERCIAL A,728,2375 Ruth Junctions Apt. 404 LAND TR Fee Owner,"$796,849 ","$67,487 ",$0 ,$0.00 ,$0.00 ,$0.00 
99198 Joseph Walk,COMMERCIAL B,328,99198 Joseph Walk LAND TR Fee Owner,"$915,433 ","$48,355 ",$0 ,$0.00 ,$0.00 ,$0.00 
913 Sally Dale Suite 327,COMMERCIAL B,246,913 Sally Dale Suite 327 LAND TR Fee Owner,"$638,206 ","$81,059 ",$0 ,$0.00 ,$0.00 ,$0.00 
8154 Jessica Lock Apt. 027,COMMERCIAL A,424,8154 Jessica Lock Apt. 027 LAND TR Fee Owner,"$126,925 ","$50,579 ",$0 ,$0.00 ,$0.00 ,$0.00 
808 Butler Springs Suite 362,COMMERCIAL A,859,808 Butler Springs Suite 362 LAND TR Fee Owner,"$646,752 ","$70,091 ",$0 ,$0.00 ,$0.00 ,$0.00 
007 Young Drive Suite 686,RESIDENTIAL,307,007 Young Drive Suite 686 LAND TR Fee Owner,"$247,270 ","$43,207 ",$0 ,$0.00 ,$0.00 ,$0.00 
1673 Tony Knoll Suite 326,RESIDENTIAL,839,1673 Tony Knoll Suite 326 LAND TR Fee Owner,"$950,667 ","$94,065 ",$0 ,$0.00 ,$0.00 ,$0.00 
53543 Kevin Rapids Suite 702,COMMERCIAL B,286,53543 Kevin Rapids Suite 702 LAND TR Fee Owner,"$471,318 ","$63,855 ",$0 ,$0.00 ,$0.00 ,$0.00 
2170 Fisher Isle Apt. 191,RESIDENTIAL,935,2170 Fisher Isle Apt. 191 LAND TR Fee Owner,"$568,074 ","$72,260 ",$0 ,$0.00 ,$0.00 ,$0.00 
8573 Adam Plaza Apt. 321,COMMERCIAL A,864,8573 Adam Plaza Apt. 321 LAND TR Fee Owner,"$695,628 ","$48,594 ",$0 ,$0.00 ,$0.00 ,$0.00 
76712 Lloyd Gardens Suite 309,COMMERCIAL B,721,76712 Lloyd Gardens Suite 309 LAND TR Fee Owner,"$224,780 ","$95,424 ",$0 ,$0.00 ,$0.00 ,$0.00 
1840 Rodney Rapid,COMMERCIAL A,403,1840 Rodney Rapid LAND TR Fee Owner,"$237,499 ","$61,560 ",$0 ,$0.00 ,$0.00 ,$0.00 
39133 Jacobson Camp Suite 476,COMMERCIAL A,488,39133 Jacobson Camp Suite 476 LAND TR Fee Owner,"$658,928 ","$36,404 ",$0 ,$0.00 ,$0.00 ,$0.00 
4110 Lisa Locks Suite 242,RESIDENTIAL,314,4110 Lisa Locks Suite 242 LAND TR Fee Owner,"$945,933 ","$15,596 ",$0 ,$0.00 ,$0.00 ,$0.00 
725 Welch Falls Suite 228,COMMERCIAL B,853,725 Welch Falls Suite 228 LAND TR Fee Owner,"$473,204 ","$60,855 ",$0 ,$0.00 ,$0.00 ,$0.00 
4307 Matthew Islands Suite 175,COMMERCIAL B,721,4307 Matthew Islands Suite 175 LAND TR Fee Owner,"$680,806 ","$39,163 ",$0 ,$0.00 ,$0.00 ,$0.00 
5934 Taylor Well Apt. 482,COMMERCIAL A,120,5934 Taylor Well Apt. 482 LAND TR Fee Owner,"$618,101 ","$14,908 ",$0 ,$0.00 ,$0.00 ,$0.00 
7439 Matthew Pike Suite 538,RESIDENTIAL,538,7439 Matthew Pike Suite 538 LAND TR Fee Owner,"$910,349 ","$69,905 ",$0 ,$0.00 ,$0.00 ,$0.00 
5755 Henderson Ferry Suite 371,COMMERCIAL A,906,5755 Henderson Ferry Suite 371 LAND TR Fee Owner,"$750,815 ","$78,897 ",$0 ,$0.00 ,$0.00 ,$0.00 
384 Beverly Courts Suite 631,COMMERCIAL A,705,384 Beverly Courts Suite 631 LAND TR Fee Owner,"$790,144 ","$94,448 ",$0 ,$0.00 ,$0.00 ,$0.00 
1405 Wade Key Suite 191,COMMERCIAL A,529,1405 Wade Key Suite 191 LAND TR Fee Owner,"$692,687 ","$79,693 ",$0 ,$0.00 ,$0.00 ,$0.00 
90151 Kayla Shoal,COMMERCIAL A,940,90151 Kayla Shoal LAND TR Fee Owner,"$164,669 ","$40,867 ",$0 ,$0.00 ,$0.00 ,$0.00 
1759 Parsons Locks,RESIDENTIAL,519,1759 Parsons Locks LAND TR Fee Owner,"$473,116 ","$64,116 ",$0 ,$0.00 ,$0.00 ,$0.00 
1326 Corey Summit,RESIDENTIAL,966,1326 Corey Summit LAND TR Fee Owner,"$748,198 ","$99,111 ",$0 ,$0.00 ,$0.00 ,$0.00 
0981 Craig Streets,COMMERCIAL A,992,0981 Craig Streets LAND TR Fee Owner,"$439,019 ","$71,307 ",$0 ,$0.00 ,$0.00 ,$0.00 
688 Farrell Mission Suite 980,RESIDENTIAL,379,688 Farrell Mission Suite 980 LAND TR Fee Owner,"$457,731 ","$84,765 ",$0 ,$0.00 ,$0.00 ,$0.00 
7108 Walker Shores Apt. 925,COMMERCIAL A,793,7108 Walker Shores Apt. 925 LAND TR Fee Owner,"$139,474 ","$65,087 ",$0 ,$0.00 ,$0.00 ,$0.00 
5258 Woodward Unions,COMMERCIAL B,154,5258 Woodward Unions LAND TR Fee Owner,"$822,455 ","$51,562 ",$0 ,$0.00 ,$0.00 ,$0.00 
894 Erickson Via Suite 826,COMMERCIAL A,383,894 Erickson Via Suite 826 LAND TR Fee Owner,"$661,862 ","$88,141 ",$0 ,$0.00 ,$0.00 ,$0.00 
798 Sean Glens Apt. 658,COMMERCIAL B,707,798 Sean Glens Apt. 658 LAND TR Fee Owner,"$893,641 ","$38,976 ",$0 ,$0.00 ,$0.00 ,$0.00 
9003 Rebekah Light Apt. 490,COMMERCIAL A,667,9003 Rebekah Light Apt. 490 LAND TR Fee Owner,"$908,067 ","$99,143 ",$0 ,$0.00 ,$0.00 ,$0.00 
70569 King Trail,COMMERCIAL B,404,70569 King Trail LAND TR Fee Owner,"$169,978 ","$11,408 ",$0 ,$0.00 ,$0.00 ,$0.00 
44629 Evelyn Ridges Apt. 914,COMMERCIAL A,647,44629 Evelyn Ridges Apt. 914 LAND TR Fee Owner,"$778,007 ","$44,774 ",$0 ,$0.00 ,$0.00 ,$0.00 
90652 Travis Drive Apt. 151,COMMERCIAL A,746,90652 Travis Drive Apt. 151 LAND TR Fee Owner,"$593,037 ","$12,405 ",$0 ,$0.00 ,$0.00 ,$0.00 
25712 Jennifer Crest,COMMERCIAL B,160,25712 Jennifer Crest LAND TR Fee Owner,"$766,805 ","$47,630 ",$0 ,$0.00 ,$0.00 ,$0.00 
046 Ashley Garden,RESIDENTIAL,373,046 Ashley Garden LAND TR Fee Owner,"$183,967 ","$83,120 ",$0 ,$0.00 ,$0.00 ,$0.00 
587 Joseph Centers Suite 965,COMMERCIAL A,462,587 Joseph Centers Suite 965 LAND TR Fee Owner,"$922,381 ","$84,271 ",$0 ,$0.00 ,$0.00 ,$0.00 
824 Brown Springs Apt. 557,COMMERCIAL A,793,824 Brown Springs Apt. 557 LAND TR Fee Owner,"$933,913 ","$15,651 ",$0 ,$0.00 ,$0.00 ,$0.00 
980 Cummings Highway,RESIDENTIAL,949,980 Cummings Highway LAND TR Fee Owner,"$316,293 ","$64,709 ",$0 ,$0.00 ,$0.00 ,$0.00 
1625 Tanya Motorway Apt. 079,COMMERCIAL A,122,1625 Tanya Motorway Apt. 079 LAND TR Fee Owner,"$210,628 ","$13,836 ",$0 ,$0.00 ,$0.00 ,$0.00 
95933 Miller Garden,COMMERCIAL B,642,95933 Miller Garden LAND TR Fee Owner,"$311,584 ","$89,901 ",$0 ,$0.00 ,$0.00 ,$0.00 
01340 Donna Cliffs Suite 804,RESIDENTIAL,298,01340 Donna Cliffs Suite 804 LAND TR Fee Owner,"$379,120 ","$20,572 ",$0 ,$0.00 ,$0.00 ,$0.00 
8068 Melody Lakes Suite 429,COMMERCIAL A,443,8068 Melody Lakes Suite 429 LAND TR Fee Owner,"$139,075 ","$77,994 ",$0 ,$0.00 ,$0.00 ,$0.00 
348 Roger Crossing Suite 933,COMMERCIAL B,983,348 Roger Crossing Suite 933 LAND TR Fee Owner,"$983,658 ","$39,761 ",$0 ,$0.00 ,$0.00 ,$0.00 
072 Wolfe Rapids,RESIDENTIAL,261,072 Wolfe Rapids LAND TR Fee Owner,"$731,480 ","$52,355 ",$0 ,$0.00 ,$0.00 ,$0.00 
204 Booth Mall Suite 599,RESIDENTIAL,671,204 Booth Mall Suite 599 LAND TR Fee Owner,"$943,979 ","$64,171 ",$0 ,$0.00 ,$0.00 ,$0.00 
821 Lynn Loop,COMMERCIAL A,945,821 Lynn Loop LAND TR Fee Owner,"$493,471 ","$87,059 ",$0 ,$0.00 ,$0.00 ,$0.00 
21026 Thomas Glen,COMMERCIAL A,828,21026 Thomas Glen LAND TR Fee Owner,"$175,522 ","$55,258 ",$0 ,$0.00 ,$0.00 ,$0.00 
033 Perkins Glens,COMMERCIAL A,757,033 Perkins Glens LAND TR Fee Owner,"$408,311 ","$32,602 ",$0 ,$0.00 ,$0.00 ,$0.00 
5956 Lynn Corner Suite 699,COMMERCIAL B,499,5956 Lynn Corner Suite 699 LAND TR Fee Owner,"$776,062 ","$93,962 ",$0 ,$0.00 ,$0.00 ,$0.00 
6419 Ingram Meadow,COMMERCIAL A,611,6419 Ingram Meadow LAND TR Fee Owner,"$534,316 ","$32,590 ",$0 ,$0.00 ,$0.00 ,$0.00 
6581 Darlene Neck,COMMERCIAL A,681,6581 Darlene Neck LAND TR Fee Owner,"$396,868 ","$95,238 ",$0 ,$0.00 ,$0.00 ,$0.00 
6114 Carrie Shoals Suite 340,RESIDENTIAL,701,6114 Carrie Shoals Suite 340 LAND TR Fee Owner,"$876,059 ","$14,829 ",$0 ,$0.00 ,$0.00 ,$0.00 
3125 John Ridges,COMMERCIAL B,159,3125 John Ridges LAND TR Fee Owner,"$937,255 ","$92,800 ",$0 ,$0.00 ,$0.00 ,$0.00 
03801 Edwards Highway Apt. 567,RESIDENTIAL,659,03801 Edwards Highway Apt. 567 LAND TR Fee Owner,"$360,358 ","$31,143 ",$0 ,$0.00 ,$0.00 ,$0.00 
385 Orozco Grove Suite 420,COMMERCIAL A,870,385 Orozco Grove Suite 420 LAND TR Fee Owner,"$517,799 ","$53,399 ",$0 ,$0.00 ,$0.00 ,$0.00 
15858 Daniel Viaduct Apt. 691,COMMERCIAL B,554,15858 Daniel Viaduct Apt. 691 LAND TR Fee Owner,"$575,173 ","$21,228 ",$0 ,$0.00 ,$0.00 ,$0.00 
36075 Gibson Station,RESIDENTIAL,497,36075 Gibson Station LAND TR Fee Owner,"$604,559 ","$50,914 ",$0 ,$0.00 ,$0.00 ,$0.00 
1468 Jeremy Ranch,COMMERCIAL A,427,1468 Jeremy Ranch LAND TR Fee Owner,"$814,659 ","$53,373 ",$0 ,$0.00 ,$0.00 ,$0.00 
0420 Lewis View Suite 147,COMMERCIAL B,166,0420 Lewis View Suite 147 LAND TR Fee Owner,"$745,509 ","$25,739 ",$0 ,$0.00 ,$0.00 ,$0.00 
786 Oliver Rapid,COMMERCIAL B,721,786 Oliver Rapid LAND TR Fee Owner,"$427,424 ","$36,340 ",$0 ,$0.00 ,$0.00 ,$0.00 
160 Natalie Cliffs Suite 750,RESIDENTIAL,757,160 Natalie Cliffs Suite 750 LAND TR Fee Owner,"$324,646 ","$88,868 ",$0 ,$0.00 ,$0.00 ,$0.00 
98921 Gonzalez Expressway,COMMERCIAL A,749,98921 Gonzalez Expressway LAND TR Fee Owner,"$444,023 ","$75,472 ",$0 ,$0.00 ,$0.00 ,$0.00 
766 Makayla Plaza,COMMERCIAL A,155,766 Makayla Plaza LAND TR Fee Owner,"$697,389 ","$89,992 ",$0 ,$0.00 ,$0.00 ,$0.00 
52306 John Mountain,COMMERCIAL B,973,52306 John Mountain LAND TR Fee Owner,"$775,824 ","$93,910 ",$0 ,$0.00 ,$0.00 ,$0.00 
2623 Jocelyn Ferry,COMMERCIAL A,245,2623 Jocelyn Ferry LAND TR Fee Owner,"$796,034 ","$74,899 ",$0 ,$0.00 ,$0.00 ,$0.00 
126 Ramirez Hill,COMMERCIAL A,798,126 Ramirez Hill LAND TR Fee Owner,"$349,484 ","$39,193 ",$0 ,$0.00 ,$0.00 ,$0.00 
37331 Andrew Harbors Suite 504,RESIDENTIAL,852,37331 Andrew Harbors Suite 504 LAND TR Fee Owner,"$624,630 ","$55,594 ",$0 ,$0.00 ,$0.00 ,$0.00 
51807 Theresa Plain Apt. 272,COMMERCIAL B,442,51807 Theresa Plain Apt. 272 LAND TR Fee Owner,"$677,553 ","$61,193 ",$0 ,$0.00 ,$0.00 ,$0.00 
87670 Courtney Glens,COMMERCIAL A,294,87670 Courtney Glens LAND TR Fee Owner,"$598,546 ","$68,780 ",$0 ,$0.00 ,$0.00 ,$0.00 
6738 Tyler Street,COMMERCIAL A,969,6738 Tyler Street LAND TR Fee Owner,"$469,648 ","$67,440 ",$0 ,$0.00 ,$0.00 ,$0.00 
113 Jill Greens Suite 578,RESIDENTIAL,782,113 Jill Greens Suite 578 LAND TR Fee Owner,"$349,144 ","$45,539 ",$0 ,$0.00 ,$0.00 ,$0.00 
896 George Fields,COMMERCIAL A,679,896 George Fields LAND TR Fee Owner,"$661,761 ","$21,696 ",$0 ,$0.00 ,$0.00 ,$0.00 
0024 Kenneth Cape,COMMERCIAL A,941,0024 Kenneth Cape LAND TR Fee Owner,"$300,371 ","$97,564 ",$0 ,$0.00 ,$0.00 ,$0.00 
963 Weaver Isle Apt. 648,COMMERCIAL B,622,963 Weaver Isle Apt. 648 LAND TR Fee Owner,"$214,468 ","$12,209 ",$0 ,$0.00 ,$0.00 ,$0.00 
3761 Keith Harbors,COMMERCIAL B,744,3761 Keith Harbors LAND TR Fee Owner,"$115,802 ","$31,359 ",$0 ,$0.00 ,$0.00 ,$0.00 
93364 West Shore,COMMERCIAL A,855,93364 West Shore LAND TR Fee Owner,"$262,129 ","$54,881 ",$0 ,$0.00 ,$0.00 ,$0.00 
566 Michelle Bridge Suite 196,COMMERCIAL A,897,566 Michelle Bridge Suite 196 LAND TR Fee Owner,"$612,743 ","$89,439 ",$0 ,$0.00 ,$0.00 ,$0.00 
0014 Johnson Meadows Apt. 087,COMMERCIAL A,757,0014 Johnson Meadows Apt. 087 LAND TR Fee Owner,"$166,935 ","$42,538 ",$0 ,$0.00 ,$0.00 ,$0.00 
1262 Kenneth Road,RESIDENTIAL,372,1262 Kenneth Road LAND TR Fee Owner,"$694,956 ","$71,405 ",$0 ,$0.00 ,$0.00 ,$0.00 
91673 Lowery Islands,RESIDENTIAL,103,91673 Lowery Islands LAND TR Fee Owner,"$980,901 ","$63,220 ",$0 ,$0.00 ,$0.00 ,$0.00 
074 Collins Plains,COMMERCIAL B,879,074 Collins Plains LAND TR Fee Owner,"$918,367 ","$59,868 ",$0 ,$0.00 ,$0.00 ,$0.00 
8907 Andrew Prairie,RESIDENTIAL,510,8907 Andrew Prairie LAND TR Fee Owner,"$777,969 ","$42,488 ",$0 ,$0.00 ,$0.00 ,$0.00 
5071 Donald Dale Suite 527,COMMERCIAL B,225,5071 Donald Dale Suite 527 LAND TR Fee Owner,"$853,527 ","$82,307 ",$0 ,$0.00 ,$0.00 ,$0.00 
060 Amber Flats Apt. 290,RESIDENTIAL,808,060 Amber Flats Apt. 290 LAND TR Fee Owner,"$749,786 ","$63,222 ",$0 ,$0.00 ,$0.00 ,$0.00 
514 Monroe Circles,COMMERCIAL B,736,514 Monroe Circles LAND TR Fee Owner,"$488,780 ","$40,007 ",$0 ,$0.00 ,$0.00 ,$0.00 
90900 Chad Estates Suite 939,COMMERCIAL B,130,90900 Chad Estates Suite 939 LAND TR Fee Owner,"$814,832 ","$66,500 ",$0 ,$0.00 ,$0.00 ,$0.00 
0830 Theresa Manors Suite 089,COMMERCIAL A,629,0830 Theresa Manors Suite 089 LAND TR Fee Owner,"$656,880 ","$39,868 ",$0 ,$0.00 ,$0.00 ,$0.00 
2768 Jill Course Suite 408,RESIDENTIAL,848,2768 Jill Course Suite 408 LAND TR Fee Owner,"$799,125 ","$10,585 ",$0 ,$0.00 ,$0.00 ,$0.00 
777 Jimmy Village,RESIDENTIAL,982,777 Jimmy Village LAND TR Fee Owner,"$744,793 ","$73,239 ",$0 ,$0.00 ,$0.00 ,$0.00 
39306 Kyle Motorway,COMMERCIAL B,101,39306 Kyle Motorway LAND TR Fee Owner,"$890,353 ","$68,443 ",$0 ,$0.00 ,$0.00 ,$0.00 
246 Yesenia Row,COMMERCIAL A,986,246 Yesenia Row LAND TR Fee Owner,"$944,128 ","$61,538 ",$0 ,$0.00 ,$0.00 ,$0.00 
402 Zimmerman Loaf,COMMERCIAL A,551,402 Zimmerman Loaf LAND TR Fee Owner,"$154,927 ","$97,785 ",$0 ,$0.00 ,$0.00 ,$0.00 
37345 Wright Spurs,RESIDENTIAL,101,37345 Wright Spurs LAND TR Fee Owner,"$775,547 ","$65,037 ",$0 ,$0.00 ,$0.00 ,$0.00 
40681 Brittany Plaza Apt. 833,COMMERCIAL A,548,40681 Brittany Plaza Apt. 833 LAND TR Fee Owner,"$980,046 ","$36,276 ",$0 ,$0.00 ,$0.00 ,$0.00 
583 Alicia Lodge Apt. 584,COMMERCIAL A,904,583 Alicia Lodge Apt. 584 LAND TR Fee Owner,"$114,151 ","$71,990 ",$0 ,$0.00 ,$0.00 ,$0.00 
445 Matthews Dam Suite 298,RESIDENTIAL,365,445 Matthews Dam Suite 298 LAND TR Fee Owner,"$250,109 ","$13,261 ",$0 ,$0.00 ,$0.00 ,$0.00 
103 Clark Viaduct Apt. 552,COMMERCIAL B,284,103 Clark Viaduct Apt. 552 LAND TR Fee Owner,"$900,152 ","$61,290 ",$0 ,$0.00 ,$0.00 ,$0.00 
