Address,Property Type,Sq. Ft.,Owner,Market Value,Assessed Value,Tax,Penalty,Interest,Total
7720 MAIN ST,COMMERCIAL A,"8,581",7720 MAIN ST LAND TR Fee Owner,"$65,673","$130,446",$0,$0.00,$0.00,$0.00
3809 MAIN ST,RESIDENTIAL A,"5,104",3809 MAIN ST LAND TR Fee Owner,"$124,248","$133,384",$0,$0.00,$0.00,$0.00
9970 MAIN ST,COMMERCIAL B,"6,841",9970 MAIN ST LAND TR Fee Owner,"$785,149","$115,529",$0,$0.00,$0.00,$0.00
6086 MAIN ST,RESIDENTIAL A,"2,838",6086 MAIN ST LAND TR Fee Owner,"$406,782","$67,926",$0,$0.00,$0.00,$0.00
8507 MAIN ST,COMMERCIAL A,"4,883",8507 MAIN ST LAND TR Fee Owner,"$767,961","$169,022",$0,$0.00,$0.00,$0.00
9589 MAIN ST,COMMERCIAL A,"2,580",9589 MAIN ST LAND TR Fee Owner,"$379,299","$163,006",$0,$0.00,$0.00,$0.00
9982 MAIN ST,COMMERCIAL A,"7,146",9982 MAIN ST LAND TR Fee Owner,"$336,707","$118,365",$0,$0.00,$0.00,$0.00
6762 MAIN ST,COMMERCIAL B,"6,552",6762 MAIN ST LAND TR Fee Owner,"$990,027","$194,440",$0,$0.00,$0.00,$0.00
7570 MAIN ST,RESIDENTIAL A,"8,201",7570 MAIN ST LAND TR Fee Owner,"$443,707","$13,265",$0,$0.00,$0.00,$0.00
8689 MAIN ST,RESIDENTIAL A,"6,149",8689 MAIN ST LAND TR Fee Owner,"$424,622","$178,395",$0,$0.00,$0.00,$0.00
4646 MAIN ST,RESIDENTIAL B,"2,212",4646 MAIN ST LAND TR Fee Owner,"$841,422","$132,510",$0,$0.00,$0.00,$0.00
7789 MAIN ST,COMMERCIAL A,"9,158",7789 MAIN ST LAND TR Fee Owner,"$905,164","$83,831",$0,$0.00,$0.00,$0.00
2680 MAIN ST,COMMERCIAL B,"2,220",2680 MAIN ST LAND TR Fee Owner,"$531,926","$107,609",$0,$0.00,$0.00,$0.00
2938 MAIN ST,COMMERCIAL B,"1,375",2938 MAIN ST LAND TR Fee Owner,"$963,077","$60,915",$0,$0.00,$0.00,$0.00
5264 MAIN ST,RESIDENTIAL A,"3,178",5264 MAIN ST LAND TR Fee Owner,"$901,100","$178,081",$0,$0.00,$0.00,$0.00
4918 MAIN ST,RESIDENTIAL A,"2,330",4918 MAIN ST LAND TR Fee Owner,"$866,268","$40,934",$0,$0.00,$0.00,$0.00
5690 MAIN ST,COMMERCIAL B,"7,034",5690 MAIN ST LAND TR Fee Owner,"$888,423","$166,214",$0,$0.00,$0.00,$0.00
4089 MAIN ST,COMMERCIAL B,"2,214",4089 MAIN ST LAND TR Fee Owner,"$691,641","$176,368",$0,$0.00,$0.00,$0.00
7680 MAIN ST,RESIDENTIAL B,"2,768",7680 MAIN ST LAND TR Fee Owner,"$255,681","$96,922",$0,$0.00,$0.00,$0.00
8192 MAIN ST,COMMERCIAL B,"7,270",8192 MAIN ST LAND TR Fee Owner,"$784,391","$73,226",$0,$0.00,$0.00,$0.00
5796 MAIN ST,RESIDENTIAL A,"6,625",5796 MAIN ST LAND TR Fee Owner,"$917,001","$92,541",$0,$0.00,$0.00,$0.00
4125 MAIN ST,RESIDENTIAL A,"5,704",4125 MAIN ST LAND TR Fee Owner,"$664,601","$117,891",$0,$0.00,$0.00,$0.00
5672 MAIN ST,COMMERCIAL A,"8,941",5672 MAIN ST LAND TR Fee Owner,"$555,015","$53,676",$0,$0.00,$0.00,$0.00
7493 MAIN ST,RESIDENTIAL A,"7,665",7493 MAIN ST LAND TR Fee Owner,"$905,458","$49,106",$0,$0.00,$0.00,$0.00
4435 MAIN ST,COMMERCIAL B,"4,277",4435 MAIN ST LAND TR Fee Owner,"$721,235","$114,492",$0,$0.00,$0.00,$0.00
3472 MAIN ST,RESIDENTIAL B,"1,945",3472 MAIN ST LAND TR Fee Owner,"$461,940","$121,842",$0,$0.00,$0.00,$0.00
8262 MAIN ST,RESIDENTIAL B,"1,979",8262 MAIN ST LAND TR Fee Owner,"$807,716","$175,385",$0,$0.00,$0.00,$0.00
9171 MAIN ST,RESIDENTIAL A,"5,661",9171 MAIN ST LAND TR Fee Owner,"$682,473","$119,214",$0,$0.00,$0.00,$0.00
6951 MAIN ST,RESIDENTIAL A,"2,796",6951 MAIN ST LAND TR Fee Owner,"$348,541","$77,209",$0,$0.00,$0.00,$0.00
1215 MAIN ST,RESIDENTIAL B,"9,008",1215 MAIN ST LAND TR Fee Owner,"$190,078","$165,626",$0,$0.00,$0.00,$0.00
2523 MAIN ST,RESIDENTIAL B,"8,816",2523 MAIN ST LAND TR Fee Owner,"$820,753","$58,537",$0,$0.00,$0.00,$0.00
8969 MAIN ST,RESIDENTIAL A,"3,260",8969 MAIN ST LAND TR Fee Owner,"$997,871","$57,073",$0,$0.00,$0.00,$0.00
3553 MAIN ST,RESIDENTIAL B,"1,046",3553 MAIN ST LAND TR Fee Owner,"$381,798","$120,452",$0,$0.00,$0.00,$0.00
4055 MAIN ST,RESIDENTIAL B,"4,258",4055 MAIN ST LAND TR Fee Owner,"$668,280","$39,716",$0,$0.00,$0.00,$0.00
3217 MAIN ST,RESIDENTIAL B,"1,661",3217 MAIN ST LAND TR Fee Owner,"$747,017","$32,411",$0,$0.00,$0.00,$0.00
8458 MAIN ST,RESIDENTIAL A,"6,674",8458 MAIN ST LAND TR Fee Owner,"$479,805","$161,921",$0,$0.00,$0.00,$0.00
8481 MAIN ST,COMMERCIAL A,"7,224",8481 MAIN ST LAND TR Fee Owner,"$999,371","$89,161",$0,$0.00,$0.00,$0.00
1916 MAIN ST,COMMERCIAL B,"4,048",1916 MAIN ST LAND TR Fee Owner,"$734,813","$90,752",$0,$0.00,$0.00,$0.00
9754 MAIN ST,RESIDENTIAL A,"3,527",9754 MAIN ST LAND TR Fee Owner,"$185,142","$51,524",$0,$0.00,$0.00,$0.00
8025 MAIN ST,RESIDENTIAL B,"8,723",8025 MAIN ST LAND TR Fee Owner,"$556,261","$117,263",$0,$0.00,$0.00,$0.00
4989 MAIN ST,RESIDENTIAL A,"5,437",4989 MAIN ST LAND TR Fee Owner,"$660,119","$133,922",$0,$0.00,$0.00,$0.00
9062 MAIN ST,COMMERCIAL A,"9,109",9062 MAIN ST LAND TR Fee Owner,"$582,801","$145,549",$0,$0.00,$0.00,$0.00
2231 MAIN ST,RESIDENTIAL A,"4,353",2231 MAIN ST LAND TR Fee Owner,"$480,165","$176,023",$0,$0.00,$0.00,$0.00
9312 MAIN ST,COMMERCIAL B,"8,861",9312 MAIN ST LAND TR Fee Owner,"$317,534","$5,157",$0,$0.00,$0.00,$0.00
8326 MAIN ST,COMMERCIAL B,"4,842",8326 MAIN ST LAND TR Fee Owner,"$519,724","$184,591",$0,$0.00,$0.00,$0.00
1155 MAIN ST,RESIDENTIAL B,"4,432",1155 MAIN ST LAND TR Fee Owner,"$865,299","$54,353",$0,$0.00,$0.00,$0.00
1746 MAIN ST,COMMERCIAL A,"3,126",1746 MAIN ST LAND TR Fee Owner,"$516,522","$58,224",$0,$0.00,$0.00,$0.00
3794 MAIN ST,COMMERCIAL B,"1,718",3794 MAIN ST LAND TR Fee Owner,"$664,222","$70,682",$0,$0.00,$0.00,$0.00
5265 MAIN ST,COMMERCIAL A,"6,452",5265 MAIN ST LAND TR Fee Owner,"$750,255","$134,158",$0,$0.00,$0.00,$0.00
5019 MAIN ST,COMMERCIAL B,"8,715",5019 MAIN ST LAND TR Fee Owner,"$533,151","$123,119",$0,$0.00,$0.00,$0.00
7167 MAIN ST,COMMERCIAL A,"2,676",7167 MAIN ST LAND TR Fee Owner,"$637,522","$198,654",$0,$0.00,$0.00,$0.00
3542 MAIN ST,RESIDENTIAL B,"4,080",3542 MAIN ST LAND TR Fee Owner,"$229,760","$155,789",$0,$0.00,$0.00,$0.00
1286 MAIN ST,RESIDENTIAL A,"7,239",1286 MAIN ST LAND TR Fee Owner,"$778,799","$146,107",$0,$0.00,$0.00,$0.00
3630 MAIN ST,COMMERCIAL B,"4,563",3630 MAIN ST LAND TR Fee Owner,"$77,286","$89,795",$0,$0.00,$0.00,$0.00
2165 MAIN ST,COMMERCIAL A,"8,817",2165 MAIN ST LAND TR Fee Owner,"$787,495","$122,291",$0,$0.00,$0.00,$0.00
2408 MAIN ST,RESIDENTIAL B,"7,222",2408 MAIN ST LAND TR Fee Owner,"$266,247","$144,109",$0,$0.00,$0.00,$0.00
5118 MAIN ST,RESIDENTIAL B,"5,050",5118 MAIN ST LAND TR Fee Owner,"$990,857","$156,865",$0,$0.00,$0.00,$0.00
6147 MAIN ST,COMMERCIAL B,"5,686",6147 MAIN ST LAND TR Fee Owner,"$322,228","$148,903",$0,$0.00,$0.00,$0.00
2837 MAIN ST,COMMERCIAL A,"7,984",2837 MAIN ST LAND TR Fee Owner,"$919,985","$68,106",$0,$0.00,$0.00,$0.00
4119 MAIN ST,COMMERCIAL B,"9,343",4119 MAIN ST LAND TR Fee Owner,"$498,177","$90,952",$0,$0.00,$0.00,$0.00
5006 MAIN ST,RESIDENTIAL A,"7,539",5006 MAIN ST LAND TR Fee Owner,"$566,129","$112,808",$0,$0.00,$0.00,$0.00
1726 MAIN ST,COMMERCIAL B,"5,623",1726 MAIN ST LAND TR Fee Owner,"$677,692","$21,506",$0,$0.00,$0.00,$0.00
6185 MAIN ST,COMMERCIAL B,"8,343",6185 MAIN ST LAND TR Fee Owner,"$77,270","$131,513",$0,$0.00,$0.00,$0.00
1378 MAIN ST,COMMERCIAL B,"7,329",1378 MAIN ST LAND TR Fee Owner,"$949,693","$141,185",$0,$0.00,$0.00,$0.00
2673 MAIN ST,COMMERCIAL B,"4,396",2673 MAIN ST LAND TR Fee Owner,"$356,663","$184,051",$0,$0.00,$0.00,$0.00
9149 MAIN ST,RESIDENTIAL B,"9,927",9149 MAIN ST LAND TR Fee Owner,"$707,143","$57,939",$0,$0.00,$0.00,$0.00
1359 MAIN ST,COMMERCIAL A,"6,169",1359 MAIN ST LAND TR Fee Owner,"$388,075","$27,842",$0,$0.00,$0.00,$0.00
5483 MAIN ST,COMMERCIAL B,"6,924",5483 MAIN ST LAND TR Fee Owner,"$800,068","$5,759",$0,$0.00,$0.00,$0.00
5740 MAIN ST,COMMERCIAL B,"1,057",5740 MAIN ST LAND TR Fee Owner,"$593,000","$193,187",$0,$0.00,$0.00,$0.00
3061 MAIN ST,COMMERCIAL B,"7,911",3061 MAIN ST LAND TR Fee Owner,"$476,593","$185,921",$0,$0.00,$0.00,$0.00
2186 MAIN ST,COMMERCIAL B,"2,681",2186 MAIN ST LAND TR Fee Owner,"$88,047","$158,274",$0,$0.00,$0.00,$0.00
5445 MAIN ST,COMMERCIAL A,"1,083",5445 MAIN ST LAND TR Fee Owner,"$898,277","$88,362",$0,$0.00,$0.00,$0.00
3401 MAIN ST,COMMERCIAL A,"3,138",3401 MAIN ST LAND TR Fee Owner,"$659,491","$190,003",$0,$0.00,$0.00,$0.00
9685 MAIN ST,RESIDENTIAL A,"9,440",9685 MAIN ST LAND TR Fee Owner,"$807,511","$184,686",$0,$0.00,$0.00,$0.00
5445 MAIN ST,RESIDENTIAL B,"6,624",5445 MAIN ST LAND TR Fee Owner,"$914,627","$44,503",$0,$0.00,$0.00,$0.00
3981 MAIN ST,COMMERCIAL B,"9,654",3981 MAIN ST LAND TR Fee Owner,"$318,720","$173,143",$0,$0.00,$0.00,$0.00
5036 MAIN ST,RESIDENTIAL B,"9,817",5036 MAIN ST LAND TR Fee Owner,"$376,185","$9,217",$0,$0.00,$0.00,$0.00
8920 MAIN ST,COMMERCIAL B,"4,597",8920 MAIN ST LAND TR Fee Owner,"$922,372","$28,403",$0,$0.00,$0.00,$0.00
7192 MAIN ST,COMMERCIAL B,"1,047",7192 MAIN ST LAND TR Fee Owner,"$792,226","$120,662",$0,$0.00,$0.00,$0.00
6474 MAIN ST,COMMERCIAL B,"9,289",6474 MAIN ST LAND TR Fee Owner,"$50,384","$100,418",$0,$0.00,$0.00,$0.00
2074 MAIN ST,COMMERCIAL B,"7,279",2074 MAIN ST LAND TR Fee Owner,"$771,269","$7,008",$0,$0.00,$0.00,$0.00
6813 MAIN ST,RESIDENTIAL A,"5,321",6813 MAIN ST LAND TR Fee Owner,"$71,600","$176,939",$0,$0.00,$0.00,$0.00
8857 MAIN ST,COMMERCIAL A,"7,626",8857 MAIN ST LAND TR Fee Owner,"$463,799","$158,211",$0,$0.00,$0.00,$0.00
1375 MAIN ST,RESIDENTIAL B,"4,696",1375 MAIN ST LAND TR Fee Owner,"$177,122","$83,305",$0,$0.00,$0.00,$0.00
3344 MAIN ST,COMMERCIAL B,"4,490",3344 MAIN ST LAND TR Fee Owner,"$70,755","$178,718",$0,$0.00,$0.00,$0.00
5102 MAIN ST,RESIDENTIAL A,"3,315",5102 MAIN ST LAND TR Fee Owner,"$167,407","$118,145",$0,$0.00,$0.00,$0.00
7829 MAIN ST,RESIDENTIAL B,"8,249",7829 MAIN ST LAND TR Fee Owner,"$73,941","$114,626",$0,$0.00,$0.00,$0.00
2340 MAIN ST,COMMERCIAL A,"2,214",2340 MAIN ST LAND TR Fee Owner,"$502,534","$62,653",$0,$0.00,$0.00,$0.00
4563 MAIN ST,COMMERCIAL A,"4,620",4563 MAIN ST LAND TR Fee Owner,"$141,777","$128,210",$0,$0.00,$0.00,$0.00
1842 MAIN ST,COMMERCIAL A,"9,106",1842 MAIN ST LAND TR Fee Owner,"$492,235","$57,752",$0,$0.00,$0.00,$0.00
2676 MAIN ST,RESIDENTIAL A,"1,953",2676 MAIN ST LAND TR Fee Owner,"$749,874","$94,066",$0,$0.00,$0.00,$0.00
5731 MAIN ST,RESIDENTIAL A,"7,785",5731 MAIN ST LAND TR Fee Owner,"$462,831","$197,984",$0,$0.00,$0.00,$0.00
1203 MAIN ST,RESIDENTIAL A,"2,070",1203 MAIN ST LAND TR Fee Owner,"$170,402","$154,200",$0,$0.00,$0.00,$0.00
5212 MAIN ST,COMMERCIAL A,"6,573",5212 MAIN ST LAND TR Fee Owner,"$846,256","$83,982",$0,$0.00,$0.00,$0.00
4568 MAIN ST,COMMERCIAL B,"8,587",4568 MAIN ST LAND TR Fee Owner,"$293,602","$188,687",$0,$0.00,$0.00,$0.00
9409 MAIN ST,RESIDENTIAL A,"8,898",9409 MAIN ST LAND TR Fee Owner,"$201,191","$124,312",$0,$0.00,$0.00,$0.00
1028 MAIN ST,RESIDENTIAL A,"3,150",1028 MAIN ST LAND TR Fee Owner,"$302,703","$124,073",$0,$0.00,$0.00,$0.00
6169 MAIN ST,RESIDENTIAL A,"6,590",6169 MAIN ST LAND TR Fee Owner,"$584,491","$32,692",$0,$0.00,$0.00,$0.00
8910 MAIN ST,COMMERCIAL B,"6,733",8910 MAIN ST LAND TR Fee Owner,"$582,577","$124,338",$0,$0.00,$0.00,$0.00
6482 MAIN ST,COMMERCIAL A,"3,328",6482 MAIN ST LAND TR Fee Owner,"$219,651","$144,466",$0,$0.00,$0.00,$0.00
1924 MAIN ST,RESIDENTIAL A,"4,840",1924 MAIN ST LAND TR Fee Owner,"$610,039","$33,472",$0,$0.00,$0.00,$0.00
4836 MAIN ST,COMMERCIAL A,"6,049",4836 MAIN ST LAND TR Fee Owner,"$756,628","$155,779",$0,$0.00,$0.00,$0.00
3188 MAIN ST,RESIDENTIAL A,"7,202",3188 MAIN ST LAND TR Fee Owner,"$390,240","$90,437",$0,$0.00,$0.00,$0.00
8397 MAIN ST,COMMERCIAL B,"7,724",8397 MAIN ST LAND TR Fee Owner,"$942,458","$53,232",$0,$0.00,$0.00,$0.00
3911 MAIN ST,RESIDENTIAL B,"2,998",3911 MAIN ST LAND TR Fee Owner,"$362,090","$92,222",$0,$0.00,$0.00,$0.00
8422 MAIN ST,COMMERCIAL A,"8,680",8422 MAIN ST LAND TR Fee Owner,"$743,317","$162,742",$0,$0.00,$0.00,$0.00
7151 MAIN ST,COMMERCIAL B,"1,203",7151 MAIN ST LAND TR Fee Owner,"$380,246","$149,152",$0,$0.00,$0.00,$0.00
2572 MAIN ST,COMMERCIAL B,"2,295",2572 MAIN ST LAND TR Fee Owner,"$572,736","$156,500",$0,$0.00,$0.00,$0.00
3369 MAIN ST,COMMERCIAL A,"6,643",3369 MAIN ST LAND TR Fee Owner,"$238,351","$79,348",$0,$0.00,$0.00,$0.00
6111 MAIN ST,COMMERCIAL A,"4,550",6111 MAIN ST LAND TR Fee Owner,"$338,245","$7,896",$0,$0.00,$0.00,$0.00
7661 MAIN ST,RESIDENTIAL A,"5,154",7661 MAIN ST LAND TR Fee Owner,"$94,515","$118,595",$0,$0.00,$0.00,$0.00
6234 MAIN ST,RESIDENTIAL B,"2,477",6234 MAIN ST LAND TR Fee Owner,"$886,541","$123,957",$0,$0.00,$0.00,$0.00
2561 MAIN ST,RESIDENTIAL A,"2,824",2561 MAIN ST LAND TR Fee Owner,"$379,614","$61,024",$0,$0.00,$0.00,$0.00
9929 MAIN ST,RESIDENTIAL A,"1,038",9929 MAIN ST LAND TR Fee Owner,"$516,655","$154,725",$0,$0.00,$0.00,$0.00
8897 MAIN ST,COMMERCIAL A,"3,969",8897 MAIN ST LAND TR Fee Owner,"$316,372","$29,070",$0,$0.00,$0.00,$0.00
1046 MAIN ST,RESIDENTIAL B,"3,282",1046 MAIN ST LAND TR Fee Owner,"$952,211","$133,569",$0,$0.00,$0.00,$0.00
3144 MAIN ST,RESIDENTIAL B,"4,204",3144 MAIN ST LAND TR Fee Owner,"$921,056","$23,699",$0,$0.00,$0.00,$0.00
3906 MAIN ST,COMMERCIAL A,"4,265",3906 MAIN ST LAND TR Fee Owner,"$706,608","$157,891",$0,$0.00,$0.00,$0.00
4219 MAIN ST,COMMERCIAL A,"8,213",4219 MAIN ST LAND TR Fee Owner,"$955,606","$135,869",$0,$0.00,$0.00,$0.00
2572 MAIN ST,COMMERCIAL B,"5,557",2572 MAIN ST LAND TR Fee Owner,"$173,006","$51,957",$0,$0.00,$0.00,$0.00
